subject,bone,edge_dist,h_min,h_max,h_mean,h_median,h_95,h_5
14548R,tpm,1.4-1.6,0.2907474403722226,0.8130699081569804,0.5107822038737372,0.48844632748748207,0.7510938714503921,0.3303248007435195
14548R,mc1,1.4-1.6,0.2921488524779629,0.7785594593524661,0.5301547688163325,0.5386493910660832,0.7409176245115751,0.330187890156929
14685R,tpm,1.4-1.6,0.2619669876602747,0.7388294307552352,0.5221223584777771,0.5684995034299443,0.6954315010850846,0.3033311739783169
14685R,mc1,1.4-1.6,0.23113126246654556,0.8337688828598391,0.5085799128183233,0.5070388614993648,0.7969656069807476,0.291166059737058
14726R,tpm,1.4-1.6,0.24184161792274358,0.797662841582971,0.48464413685389685,0.49870319267743124,0.6740597715751562,0.28202859548309356
14726R,mc1,1.4-1.6,0.21713390686294448,0.7602225970289985,0.45492347094948615,0.4485558983102215,0.6860893553495812,0.2685413280936906
14727R,tpm,1.4-1.6,0.21924535594064765,0.9023162915387286,0.5700193573819161,0.6003830847470399,0.8170920322237256,0.2761431626491239
14727R,mc1,1.4-1.6,0.20125804293783964,0.8275502437721898,0.5280778620907377,0.5488897616804251,0.7812045666380268,0.2582471539849331
14818R,tpm,1.4-1.6,0.34670987766961153,0.8256914752699879,0.5656295486846596,0.5439648564879177,0.769644618209688,0.37629008494638605
14818R,mc1,1.4-1.6,0.3297781958826308,0.7765762189553147,0.5472191979464164,0.5466995055750795,0.738763897994328,0.34351179757143757
14819R,tpm,1.4-1.6,0.2325797227941547,0.6576274425324937,0.43654307258155767,0.4347719465077195,0.6290415337214987,0.2666007984994903
14819R,mc1,1.4-1.6,0.21186335363503708,0.6862069307158323,0.46219330955836474,0.4099763484156196,0.6518781210606933,0.26496654308645035
14827L,tpm,1.4-1.6,0.3639282613421131,0.6159497621608258,0.4889141234915619,0.4921205605929879,0.5752193049579051,0.3858327873959644
14827L,mc1,1.4-1.6,0.2565117225390684,0.6534403260204772,0.4653624819361561,0.4515615133894325,0.6126655719943819,0.3114215817881994
14873R,tpm,1.4-1.6,0.36205660450408106,0.7005042213425392,0.5488976791301363,0.5568796024804288,0.6530320423046035,0.3965854853183388
14873R,mc1,1.4-1.6,0.34182919609470813,0.810167912450549,0.5314006195452307,0.5055700039485531,0.737138531751042,0.378848023792097
14874R,tpm,1.4-1.6,0.16964401238045673,0.6613158604060719,0.45726448151120713,0.4842953323187672,0.6071900314086615,0.22058461776642646
14874R,mc1,1.4-1.6,0.19712880968159818,0.6176643511724684,0.3966938058322754,0.4039466832721962,0.5556336468002447,0.23520493098628184
15006R,tpm,1.4-1.6,0.26840297292996723,0.893645391692992,0.5749909896807024,0.5560234275054674,0.8787951513990606,0.3076567057936985
15006R,mc1,1.4-1.6,0.17089504907837072,0.8746940944008654,0.5155443021426785,0.46343398307215844,0.851368505594863,0.22046379503126268
15283R,tpm,1.4-1.6,0.2166982226600648,0.6609230405812067,0.4463957811673478,0.4417885172913797,0.6071182340966803,0.26921858270007043
15283R,mc1,1.4-1.6,0.22675577619905488,0.7368687940352833,0.4570206884843766,0.4577474188089646,0.6417130203661315,0.2688114518495076
15294R,tpm,1.4-1.6,0.18992818048421714,0.6829010357202697,0.4423102467416083,0.4225304903715882,0.6470824067183691,0.2484500456515462
15294R,mc1,1.4-1.6,0.15631689748377717,0.8499013828513824,0.4862879570469659,0.49945391890396457,0.7725043644771383,0.24250261768922504
15441R,tpm,1.4-1.6,0.18278748191434221,0.704575860143703,0.4537040302114599,0.47783484622091904,0.632912086129908,0.2414373013814365
15441R,mc1,1.4-1.6,0.20825452632268032,0.7480355689041306,0.4910445934343062,0.4898969065316015,0.7078975077206658,0.24392442769172457
15737R,tpm,1.4-1.6,0.1915383681954496,0.871684483884224,0.49450629146192954,0.4095527312565774,0.8329688114806126,0.24014209597338743
15737R,mc1,1.4-1.6,0.2219897516189788,0.9191957995475819,0.5536400533349717,0.48183718658763364,0.8725649119310612,0.2950878711938759
22306R,tpm,1.4-1.6,0.2488452311971513,0.7456494439789191,0.4903432176040157,0.5007494526994125,0.7048037488307008,0.2781627018658583
22306R,mc1,1.4-1.6,0.26466563035210355,0.7938147851362869,0.45095456386787325,0.44400637382044683,0.7098849160067314,0.2911723167649785
50000R,tpm,1.4-1.6,0.2512364946003554,0.596086056532765,0.4664897679205489,0.473802873302773,0.5655786067912819,0.31137183788518974
50000R,mc1,1.4-1.6,0.26670814265509996,0.6632825019883944,0.4837646443660312,0.4839204397558618,0.6145413276342243,0.3481179468485056
50001R,tpm,1.4-1.6,0.42441180130154454,0.7552992592326572,0.5776205792616561,0.570273749545536,0.7296583125319663,0.4436589590665052
50001R,mc1,1.4-1.6,0.3930086779622746,0.8250319563461089,0.5232785126774023,0.4918096031417508,0.75394671755199,0.4127077877553768
50006R,tpm,1.4-1.6,0.49494375414483155,0.782822026286322,0.6389733349992592,0.6422503367782645,0.756118270683459,0.5075277266776137
50006R,mc1,1.4-1.6,0.4848170904207152,0.8157283292041033,0.6099448074218388,0.6000013500126689,0.745767287400204,0.49926914698443103
50007L,tpm,1.4-1.6,0.3460401203370155,0.7248991711653004,0.5695653863214541,0.5755028825017388,0.7087425421753254,0.37843545566983783
50007L,mc1,1.4-1.6,0.32181647483129533,0.9024592247916482,0.5715934599654926,0.5772652880003716,0.77662315981574,0.35918027957754256
50008L,tpm,1.4-1.6,0.34072252547007026,0.7232220607201498,0.5301408868609837,0.5246133476504435,0.674954854007301,0.38635286572032823
50008L,mc1,1.4-1.6,0.3532708034931706,0.7495268239079352,0.5412591320135871,0.5357511590444861,0.7081200322859234,0.3817175796079858
50014R,tpm,1.4-1.6,0.2603710975625013,0.7370536522349432,0.4997608414848935,0.4822526218167771,0.7037041476631548,0.2946993436676153
50014R,mc1,1.4-1.6,0.25310303387933497,0.7282229640454635,0.49019584325326415,0.47485359505810537,0.6885399017194351,0.2728683882544579
50016L,tpm,1.4-1.6,0.2902771656588388,0.819378240114837,0.5660079173313787,0.5649262800920091,0.7399232683005716,0.37759863428510876
50016L,mc1,1.4-1.6,0.29040236161022787,0.7376607368731959,0.5216244928942335,0.542291598283309,0.6704951634797449,0.37412950763155883
50017L,tpm,1.4-1.6,0.3301027127110047,0.7409056877435636,0.5147100953075594,0.4991157424748615,0.7064423244271946,0.35883543037107657
50017L,mc1,1.4-1.6,0.34300906273783927,0.7350467179963895,0.5097497739970385,0.5039190743016064,0.7050267147542731,0.36168161394483556
50019R,tpm,1.4-1.6,0.34989332040008453,0.7421310625160236,0.5358301484937834,0.5309215447504823,0.7116313189941743,0.3903793985415583
50019R,mc1,1.4-1.6,0.34812194184600687,0.7531193520141816,0.5199697651133202,0.48910930153783444,0.7373378009199055,0.3907623234740955
50020R,tpm,1.4-1.6,0.33115680047665824,0.8119489185970776,0.5480993034140773,0.5093797028724856,0.7940633476635323,0.3659451061191806
50020R,mc1,1.4-1.6,0.33215130345423727,0.7393814032851863,0.5009982281491681,0.4965962691595344,0.6734229882549498,0.36121997519337695
50021R,tpm,1.4-1.6,0.24915704864238988,0.5993671566864993,0.4151766863669821,0.4070499257545154,0.572835330955336,0.3012647080306431
50021R,mc1,1.4-1.6,0.22427488929968886,0.675235079190016,0.4098589477371247,0.4134935433145551,0.5858846314503696,0.26207036862558236
50024R,tpm,1.4-1.6,0.21539594143963903,0.814583797629111,0.5056340521333574,0.5214622957697216,0.7088480502630303,0.2461822940926495
50024R,mc1,1.4-1.6,0.23626498198552237,0.768264547533948,0.5006195514859191,0.47907623396212295,0.7250738731265715,0.2807453192034214
50027L,tpm,1.4-1.6,0.23085519456079567,0.8503428201432177,0.5636222802808007,0.5739588286609503,0.8213028167948986,0.2743936611181362
50027L,mc1,1.4-1.6,0.2516456891773372,0.8344101332497766,0.48809299774753384,0.4521810840596546,0.7971093928756172,0.2694589257743934
50029R,tpm,1.4-1.6,0.15635113541717002,0.6476302072128883,0.41981897016206976,0.4234737453004991,0.6042428136700216,0.2126567757730033
50029R,mc1,1.4-1.6,0.16523277302676198,0.7485298708288388,0.4420515072876266,0.4303704489574583,0.6719331576575949,0.22784975163438767
50034R,tpm,1.4-1.6,0.2509494854956634,0.786433160389747,0.5326792705984377,0.5364594992633691,0.7068739218641792,0.3087622752164394
50034R,mc1,1.4-1.6,0.23592556925948618,0.7738642695590101,0.5400404599149439,0.5455958531657965,0.7178377779196506,0.3108157638627444
50037L,tpm,1.4-1.6,0.39278683088657346,0.8268085398332289,0.5990361960410018,0.598088276412555,0.7281995625681211,0.4623581963122985
50037L,mc1,1.4-1.6,0.4255150663642363,0.8619280389186683,0.6223137565168422,0.6225399066124511,0.7739386142967343,0.4780524792448045
50045R,tpm,1.4-1.6,0.2527234267072594,0.7047048708310207,0.49385244238659115,0.4941785608250929,0.6629492139549328,0.30404666225681415
50045R,mc1,1.4-1.6,0.2426224213675144,0.708101732415798,0.4788220423713553,0.5097682206697643,0.683099024212229,0.27637093449836103
50049R,tpm,1.4-1.6,0.1917635148747751,0.8230930808335905,0.4917887503267857,0.49866494777599024,0.7595807503757527,0.26209740805380227
50049R,mc1,1.4-1.6,0.2407734186291535,0.7840789203988152,0.48758955710648,0.46232990360113185,0.7073117967540827,0.3006926603127733
50053R,tpm,1.4-1.6,0.31651719201387,0.7607882781956388,0.5498629593214581,0.5503519220043159,0.7294476956817997,0.35006634211304877
50053R,mc1,1.4-1.6,0.3374677346226431,0.7196544672581194,0.5351276640511936,0.5269813411182693,0.6904460018914077,0.36946631192815005
